Thread ID: 18456180
Fiber ID: 52550820
Total: 6.179719
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.07      0.026     0.004     0.000     0.022     2000   ActionDispatch::Http::Parameters#normalize_encode_params 
  0.07      0.009     0.004     0.000     0.005     1000   AbstractController::Rendering#_normalize_options 
  0.07      0.009     0.004     0.000     0.005     1000   ActionDispatch::Cookies::CookieJar#[]= 
  0.07      0.079     0.004     0.000     0.075     4000   Logger::LogDevice#write 
  0.06      0.005     0.004     0.000     0.001     2000   URI::Generic#normalize! 
  0.06      0.004     0.004     0.000     0.000     1000   Float#to_default_s 
  0.06      0.016     0.004     0.000     0.012     4000   ActiveSupport::TaggedLogging::Formatter#tags_text 
  0.06      5.421     0.004     0.000     5.417     1000   Rack::Test::Session#process_request 
  0.06      0.169     0.004     0.000     0.165     4000   ActionDispatch::Request::Session::Options#[] 
  0.06      0.012     0.004     0.000     0.008     2000   ActionView::LookupContext::Accessors#formats= 
  0.06      0.078     0.004     0.000     0.074     5000   ActionView::Resolver#find_all 
  0.06      0.015     0.004     0.000     0.011     2000   ActionDispatch::Journey::Path::Pattern#match 
  0.06      0.004     0.004     0.000     0.000     1000   String#sub! 
  0.06      0.072     0.004     0.000     0.068     3000  *Hash#as_json 
  0.06      0.067     0.004     0.000     0.063     1000   ApplicationController#_layout 
  0.06      0.014     0.004     0.000     0.010     2000   AbstractController::ViewPaths#_prefixes 
  0.06      0.004     0.004     0.000     0.000     3000   String#tr 
  0.06      0.038     0.004     0.000     0.034     1000   Kernel#loop 
  0.06      3.288     0.004     0.000     3.284     6000  *<Module::ActiveSupport::Notifications>#instrument 
  0.06      4.363     0.004     0.000     4.360     1000   ActionDispatch::Flash#call 
